Time;Type;CurrentPose;TargetPose;Result
Sat Sep 29 14:48:28 2018;drop_pose;(0.450203572065,0.106107922932,0.211849766771)/(0.00198205853156,0.00735661281288,-0.00222709334611,0.999968495377);(0.525676369667,0.366309076548,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:48:40 2018;grasp_pose;(0.497348385207,-0.0319497727809,0.172129013132)/(0.000169652150998,0.00479415236956,-3.59360436827e-05,0.999988492949);(0.573563277721,0.227648541331,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:48:42 2018;post_grasp;(0.497494420721,-0.0318907516775,0.302341884532)/(-0.00025064793893,0.00268018270316,0.00057652446015,0.999996210701);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:48:47 2018;drop_pose;(0.613184755141,-0.0371887362442,0.212025112558)/(0.000727040641222,-3.86111945115e-05,-0.000146298055374,0.999999724259);(0.688123166561,0.222801238298,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:49:08 2018;grasp_pose;(0.211854160184,0.062568060719,0.174003976181)/(-0.00129422377341,2.24882218777e-05,-0.00350589939623,0.99999301655);(0.286343693733,0.322891116142,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:49:10 2018;post_grasp;(0.21221144365,0.0625570138407,0.303939534412)/(-0.00158711611731,-0.00223225208634,-0.0046304541274,0.999985528399);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:49:17 2018;drop_pose;(0.505342155124,-0.102832605195,0.212225577642)/(-0.00131852644347,-0.00121160826432,-0.000214133503204,0.999998373819);(0.579775512218,0.157339975238,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:49:31 2018;grasp_pose;(0.580034503912,0.132389942165,0.170169441485)/(-0.00017334052895,0.00554551492613,0.000962660824707,0.999984145125);(0.655957460403,0.392664700747,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:49:33 2018;post_grasp;(0.58028039965,0.132061266572,0.300391163256)/(0.000370266586337,0.00300206499047,0.0014891234702,0.999994316494);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:49:39 2018;drop_pose;(0.433439274842,0.0316801218417,0.211625775816)/(-0.000586339895998,0.0072597673422,-0.00135101167469,0.999972562999);(0.510134339333,0.291739881039,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:49:49 2018;grasp_pose;(0.286189019787,0.0072668903615,0.173876291928)/(0.000634223264327,0.00425579805116,-0.00160496548315,0.999989454959);(0.361839205027,0.266633093357,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:50:01 2018;post_grasp;(0.28544460299,0.0071895782429,0.303636112112)/(0.000585906459928,0.00816289336536,-0.00100957436872,0.999966001745);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:50:06 2018;drop_pose;(0.30978895242,-0.0500603711145,0.213058069742)/(0.000354180853717,0.00572581771379,-0.00404472161217,0.999975364594);(0.385384202003,0.210661575198,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:50:17 2018;grasp_pose;(0.476683193885,-0.0382932368573,0.171397990544)/(0.000719799559263,0.00564508321424,-0.00223173641112,0.999981316964);(0.553419470787,0.22228948772,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:50:19 2018;post_grasp;(0.476855185941,-0.0385215435092,0.301347454347)/(0.000785845023271,0.00346225880704,-0.00140951094345,0.999992704219);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:50:25 2018;drop_pose;(0.274704627277,0.237658865281,0.212873666329)/(-0.00451508047219,0.00426454930672,0.00522962032389,0.999967038826);(0.351271361113,0.497364908457,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:50:36 2018;grasp_pose;(0.465819762643,-0.155255352899,0.171345377358)/(0.00270845861963,0.00629200296072,-0.00335786490367,0.999970899424);(0.542787134647,0.1038774997,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:50:38 2018;post_grasp;(0.465927743475,-0.155162700839,0.301086704665)/(0.00274728213469,0.0043667372282,-0.00366358334206,0.999979980902);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:50:51 2018;drop_pose;(0.348217344822,-0.189265423749,0.213043537745)/(0.00288351405827,0.00391243552739,-0.00172281481034,0.999986704964);(0.423743188381,0.0696841180325,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:51:06 2018;grasp_pose;(0.53966555942,-0.0174874768796,0.171631734217)/(0.00166941589015,0.00532642663035,-0.0010478913779,0.999983871947);(0.61593914032,0.241444334388,0.225)/(0.0,0.0,0.0,1.0);success
